,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
2,31.180173873901367,9.643259048461914,20.917749404907227,26.3026065826416,-0.17627358436584473,0.176094189286232,0.19049261510372162,0.471716970205307,-0.17793047428131104,1.7007944583892822,2.1038384437561035,-2.2350125312805176,1.0,-1.0,1.0,-1.0,-1.8787249326705933,4.338850975036621,1.9114838241652135,4.347955258493316,0.0,28.659038446960814,39.31572129568527,0.0
4,10.036550521850586,26.144771575927734,10.42864990234375,43.28183364868164,-0.7366499304771423,-1.3739832639694214,-1.431488037109375,-1.3307914733886719,-2.8277246952056885,-2.4587910175323486,-2.8279404640197754,0.509329080581665,1.0,-1.0,-1.0,1.0,-0.36893367767333984,-3.3372695446014404,0.7364141745661584,3.3387883747355813,1.0,12.064686455484994,42.341909602079426,0.0
8,11.373241424560547,26.512454986572266,36.81132507324219,8.426377296447754,-0.030320370569825172,0.4118137061595917,-0.5317098498344421,0.4130606949329376,1.031509280204773,2.6228878498077393,-1.1420701742172241,1.2187989950180054,-1.0,1.0,-1.0,1.0,-1.5913785696029663,-2.3608691692352295,1.6516562289224082,2.542891006869584,2.0,25.988218152546697,36.8669732384804,0.0
9,56.04152297973633,31.901695251464844,9.828450202941895,8.845038414001465,-0.4775700867176056,0.43305033445358276,-2.0501694679260254,-1.7241097688674927,-0.37669286131858826,-3.1028647422790527,2.4201362133026123,2.4474048614501953,-1.0,1.0,-1.0,1.0,2.7261719703674316,-0.027268648147583008,2.874237849891384,0.3271979622826793,3.0,91.84220526497688,3.064162342018592,0.0
14,42.74453353881836,14.525485038757324,35.23979949951172,10.794568061828613,-0.6272769570350647,-1.3489000797271729,-1.9301230907440186,-0.4048502445220947,0.8822319507598877,2.9882395267486572,-1.5171931982040405,-2.611220598220825,1.0,-1.0,-1.0,1.0,-2.1060075759887695,1.0940274000167847,2.2262092986343407,1.8770597239857378,4.0,47.039314853492655,38.49785081398291,0.0
17,10.365259170532227,29.65791130065918,36.139041900634766,9.265799522399902,2.215174436569214,0.9171944856643677,1.936414361000061,2.1230990886688232,-0.43720436096191406,0.715988039970398,-1.5098044872283936,-0.740778386592865,-1.0,1.0,-1.0,1.0,-1.153192400932312,-0.7690261006355286,1.7362616929826498,0.7913610623498265,5.0,30.988759936115702,14.148129438578557,0.0
20,19.848188400268555,38.183258056640625,44.487117767333984,18.339405059814453,0.6993958950042725,0.9575880765914917,0.6569016575813293,1.4451640844345093,2.180894374847412,-0.6447786092758179,2.254042625427246,-3.0364508628845215,-1.0,1.0,-1.0,1.0,2.8256731033325195,5.290493488311768,2.837444570300819,5.34889511987828,6.0,54.83853554713537,35.69087286582171,0.0
23,25.37409210205078,26.154367446899414,26.849882125854492,9.927666664123535,1.1617693901062012,0.7183308601379395,1.672937035560608,1.4276645183563232,1.3296095132827759,-2.4412598609924316,-0.6251971125602722,1.4137688875198364,-1.0,1.0,-1.0,1.0,3.770869255065918,-2.038965940475464,3.7968529953978734,2.053665190364466,7.0,50.32877927018346,28.10336062167879,0.0
