,selpT0,selpT1,selpT2,selpT3,selEta0,selEta1,selEta2,selEta3,selPhi0,selPhi1,selPhi2,selPhi3,selCharge0,selCharge1,selCharge2,selCharge3,dPhi0,dPhi1,dRA0,dRA1,event,invMassA0,invMassA1,Predict
2,21.597854614257812,38.603668212890625,58.263973236083984,12.089347839355469,-0.5041062235832214,-0.7517558336257935,-0.9258651733398438,-0.5812889933586121,-2.3755042552948,2.6637802124023438,0.2643442153930664,-1.600698471069336,-1.0,1.0,-1.0,1.0,-5.039284706115723,1.8650426864624023,5.045366258126962,1.8966066977993494,0.0,34.401497863057,43.60931914615556,0.0
8,12.321660041809082,25.253089904785156,61.30939483642578,8.832046508789062,1.4957112073898315,1.7416560649871826,0.5084752440452576,1.7844418287277222,0.3298816978931427,-2.5666415691375732,0.9674434661865234,-2.2484798431396484,-1.0,1.0,-1.0,1.0,2.8965232372283936,3.215923309326172,2.9069461186583134,3.459805429327017,2.0,35.28402006942945,56.310233645581896,0.0
11,55.102081298828125,15.369746208190918,18.70406150817871,38.50410842895508,-1.6349315643310547,-0.9038561582565308,-1.4265655279159546,-1.634630799293518,-1.4260326623916626,-2.639885425567627,-1.3750841617584229,-3.044692039489746,1.0,-1.0,1.0,-1.0,1.2138527631759644,1.6696078777313232,1.4170073323864467,1.6825223988214577,3.0,39.68805686694308,40.171506069302445,0.0
12,48.46971893310547,34.45066452026367,12.375395774841309,8.40177059173584,-1.8923753499984741,-0.8238688707351685,-0.9456680417060852,-1.083203911781311,-2.899670362472534,-0.24904270470142365,-2.4117822647094727,1.1653547286987305,1.0,-1.0,1.0,-1.0,-2.650627613067627,-3.577136993408203,2.857889577885096,3.5797800470373633,4.0,91.54036363111734,19.961380386737126,0.0
17,66.40422058105469,9.526715278625488,21.31853675842285,24.263118743896484,-0.19424085319042206,-0.4303063452243805,-0.22620044648647308,0.9225364327430725,2.8614678382873535,-0.23984815180301666,-0.32306504249572754,-0.7696915864944458,1.0,-1.0,1.0,-1.0,3.101315975189209,0.44662654399871826,3.1102873974108936,1.2325062209989839,5.0,50.64432814731414,29.368049611504954,0.0
19,8.219794273376465,31.516559600830078,8.469442367553711,61.38654708862305,-1.2824681997299194,-0.1707465946674347,0.5180292129516602,0.4724591076374054,-0.03267829865217209,-1.456020712852478,-1.7728904485702515,1.5276317596435547,1.0,-1.0,-1.0,1.0,1.4233424663543701,-3.3005223274230957,1.8060533685232618,3.3008369042284897,6.0,28.2230526236553,45.47102980531663,0.0
23,8.755814552307129,36.640323638916016,10.042448043823242,46.38064956665039,0.4603821933269501,-1.438198208808899,0.3575874865055084,-0.33045825362205505,-1.0980453491210938,1.9041013717651367,2.77931809425354,-2.2885687351226807,-1.0,1.0,1.0,-1.0,-3.0021467208862305,5.067886829376221,3.552111004778212,5.11438010475098,7.0,53.154058206636506,28.925011776313475,0.0
26,104.19313049316406,14.336591720581055,26.285327911376953,13.683555603027344,1.465570330619812,0.6669543385505676,0.23591533303260803,-1.6586940288543701,0.6399054527282715,-0.6111549139022827,-0.5356529951095581,2.9132721424102783,1.0,-1.0,-1.0,1.0,1.2510603666305542,-3.448925018310547,1.484230286627557,3.935051245301727,8.0,55.25350236250063,55.96040359183786,0.0
27,58.422306060791016,29.854631423950195,8.61217212677002,8.415205955505371,-0.7901291847229004,-1.9829425811767578,-1.4010539054870605,-0.5784366130828857,-1.1513619422912598,2.848884105682373,2.5045347213745117,-0.3010287284851074,1.0,-1.0,-1.0,1.0,-4.000246047973633,2.805563449859619,4.1742990121801835,2.9236767059561464,9.0,92.50954947930545,18.266292372152552,0.0
32,13.86231803894043,196.98463439941406,73.85841369628906,12.598134994506836,-0.6409029364585876,0.4461717903614044,-0.03074474260210991,0.07321078330278397,1.7442108392715454,1.5159099102020264,1.6853570938110352,1.669498085975647,1.0,-1.0,-1.0,1.0,0.22830092906951904,0.015859007835388184,1.1107892872635519,0.10515825560153114,10.0,60.82091799321412,3.209148142410753,0.0
